,Location,Cood
830,临洮店子,"103.836197,35.274297"
831,马寨,"116.482552,36.017937"
832,乐家湾,"115.078659,30.331793"
833,三家集,[]
834,石油技校,[]
835,头寨,"115.360962,26.466324"
836,火烧寨,"109.348763,34.116199"
837,大安,"124.273046,45.526635"
838,官庄子,"115.702026,40.647068"
839,秦州,[]
840,太平,"121.679634,42.004220"
841,总寨,"101.718987,36.536308"
842,梁原,"111.192001,34.133549"
843,杜寨,"116.085762,36.521950"
844,生沟滩,"106.926125,27.916567"
